DateTime,Title,Categories,Sentiment,Relevance,Keywords
2024-05-28T23:59:37Z,"IIT-K, DRDO inaugurate centre of excellence in defence technologies | Kanpur News - Times of India",Science,0.2941176470588236,5,"iit, kanpur, defence, technologies, excellence"
2024-05-28T23:58:37Z,Bedrock CEO Jonas Engwall Talks Pan-European Streaming Platform Growth,Computers,0.0823529411764705,1,"bedrock, streaming, engwall, growth, ceo"
2024-05-28T23:58:37Z,China in Focus Full Broadcast (May 28),Computers,-0.1372549019607843,1,"broadcast, china, focus, 28"
2024-05-28T23:58:34Z,OpsMx secures strategic investment from CerraCap Ventures to enhance DevSecOps - ETCIO SEA,Computers,0.5137254901960784,1,"opsmx, devsecops, strategic, secures, sea"
2024-05-28T23:57:55Z,Why the Summer Could Be Disastrous for Ukraine,Society,-0.207843137254902,1,"ukraine, summer, disastrous"
2024-05-28T23:57:54Z,Cleo's Ovarian Cancer Blood Test Outperforms Current Clinical Benchmark,Business,0.4901960784313726,1,"cleo, ovarian, benchmark, cancer, blood"
2024-05-28T23:57:46Z,"Ooma, Inc. (OOMA) Q1 2025 Earnings Call Transcript",Business,0.3490196078431373,2,"ooma, earnings, transcript, q1, 2025"
2024-05-28T23:57:26Z,"Lily Allen, David Harbour 'control' what they're allowed to have on each other's cell phones",Home,0.0039215686274509,1,"lily, phones, allen, david, cell"
2024-05-28T23:55:49Z,Training centres urged to collaborate to produce more skilled workforce,Science,0.3568627450980393,1,"training, collaborate, workforce, skilled, centres"
2024-05-28T23:55:49Z,Bid to be global semiconductor hub,Science,0.5215686274509803,6,"semiconductor, bid, global, hub"
2024-05-28T23:55:36Z,(LEAD) N. Korean leader slams S. Korea's show of force against Pyongyang's satellite launch | Yonhap News Agency,Society,-0.3333333333333334,1,"pyongyang, korea, korean, satellite, slams"
2024-05-28T23:55:17Z,A New Partnership Or 'Our Man In Africa'? - OpEd,Society,0.1529411764705881,1,"partnership, africa, man, new, oped"
2024-05-28T23:55:10Z,New report reveals climate change causing more extreme heat in Illinois,Business,0.2549019607843137,1,"climate, heat, illinois, extreme, change"
2024-05-28T23:54:53Z,Kavinder terms 10 years of Modi Govt as golden period in Indian history,Society,0.388235294117647,1,"modi, kavinder, indian, govt, history"
2024-05-28T23:54:38Z,Tonic.ai Launches World's First Secure Unstructured Data Lakehouse for LLMs,Computers,0.3568627450980393,1,"llms, data, lakehouse, unstructured, secure"
2024-05-28T23:54:37Z,Secure Borders - Accelerated Growth,Science,0.1215686274509804,1,"borders, secure, growth, accelerated"
2024-05-28T23:54:25Z,Gianni Caproni Museum of Aeronautics: What's on Display at Italy's Oldest Aviation Museum?,Science,0.0901960784313724,1,"museum, caproni, aeronautics, italy, aviation"
2024-05-28T23:54:22Z,"Adam Neumann loses WeWork buyback to Masayoshi Son, Softbank - Fast Company",Society,0.0039215686274509,1,"neumann, buyback, wework, softbank, adam"
2024-05-28T23:53:43Z,"If AI can do your job, maybe it can also replace your CEO",Business,0.1450980392156862,2,"ai, ceo, replace, maybe, job"
2024-05-28T23:53:33Z,"Sanlorenzo CEO Massimo Perotti's Innovative, Strategic, Italian Style",Recreation,0.6392156862745098,2,"massimo, perotti, sanlorenzo, italian, ceo"
2024-05-28T23:53:31Z,'Provide incentives for healthcare staff',Health,0.1450980392156862,1,"incentives, healthcare, staff, provide"
2024-05-28T23:53:29Z,Top 6 Cryptocurrencies of 2024: BlockDAG's Remarkable $34.7M Fundraising & Anticipated 800% Price Rise Outshines Others,Business,0.4352941176470588,7,"cryptocurrencies, fundraising, blockdag, 2024, 800"
2024-05-28T23:53:29Z,Cyberharassment: Orange and the UNSS mobilize young Gard athletes at Grau-du-Roi - The Bobr Times,Sports,0.2156862745098038,4,"athletes, cyberharassment, grau, gard, young"
2024-05-28T23:52:47Z,When the CEA puts innovation and technology within reach of Béziers businesses - The Bobr Times,Science,0.3490196078431373,4,"innovation, businesses, béziers, technology, bobr"
2024-05-28T23:52:39Z,"Lucid CEO Says Tesla ""Seems to be Distracted"", ""Kind of Losing Its Way"" - EV",Science,-0.0196078431372549,5,"tesla, ev, ceo, lucid, distracted"
2024-05-28T23:52:15Z,"Hitachi, Google Cloud Sign Deal to Bring AI to Businesses",Business,0.4039215686274509,2,"hitachi, cloud, ai, sign, businesses"
2024-05-28T23:52:01Z,Is the U.S. Air Force's NGAD Fighters and B-21 Bombers Worth the Cost?,Science,0.3019607843137255,4,"bombers, cost, fighters, ngad, worth"
2024-05-28T23:51:17Z,Read more,Health,0.2313725490196079,2,read
2024-05-28T23:50:04Z,THE AUSER TIMES,Society,-0.1450980392156863,2,"times, auser"
2024-05-28T23:49:57Z,'They need to step up': Retired FBI Special Agent speaks on current Ascension cybersecurity attack,Computers,-0.1294117647058823,1,"cybersecurity, fbi, agent, attack, retired"
2024-05-28T23:49:52Z,Coal India Ltd incorporates Bharat Coal Gasification & Chemicals Limited for coal gasification projects | Kolkata News - Times of India,Business,0.0823529411764705,2,"gasification, bharat, coal, kolkata, india"
2024-05-28T23:48:42Z,NASCAR entry lists for Gateway and Portland,Sports,0.1529411764705881,1,"nascar, gateway, portland, entry, lists"
2024-05-28T23:48:17Z,AI headphones let you hear just one voice in a crowd - ExBulletin,Computers,0.192156862745098,1,"headphones, voice, ai, exbulletin, crowd"
2024-05-28T23:48:15Z,"ABB donates $100,000 to Fort Smith Boys and Girls Club for STEAM Lab - Talk Business & Politics",Science,0.1372549019607843,4,"abb, donates, club, business, 000"
2024-05-28T23:48:10Z,Netflix CEO Ted Sarandos says showrunners and screenwriters better start using AI -- or else someone who does will take their job,Arts,0.3254901960784313,5,"screenwriters, ai, showrunners, netflix, ceo"
2024-05-28T23:47:48Z,Packaging Tape Innovations: Advanced Solutions for Secure Shipping,Business,0.2470588235294118,2,"packaging, tape, shipping, secure, innovations"
2024-05-28T23:47:45Z,"Hassle-free! President Joko Widodo launches ""INA Digital"", which becomes GovTech and accelerates the integration of various services - El Jabar - ExBulletin",Shopping,0.1450980392156862,1,"widodo, joko, digital, jabar, ina"
2024-05-28T23:47:20Z,"ASU criminology, public affairs schools collaborate to serve community",Science,0.2470588235294118,1,"criminology, schools, asu, community, public"
2024-05-28T23:46:29Z,Tech to detect odour on trains,Business,0.0196078431372548,1,"odour, trains, detect, tech"
2024-05-28T23:46:29Z,New age prostate therapy at MCH,Health,0.1450980392156862,5,"prostate, mch, therapy, new, age"
2024-05-28T23:46:28Z,TÃ¼rkiye's Space Projects Facilitate Reverse Brain Drain: Expert,Science,0.2470588235294118,4,"brain, space, drain, reverse, projects"
2024-05-28T23:46:28Z,"Campaigns go hi-tech with drones, cams",Society,0.1215686274509804,1,"drones, campaigns, cams, tech, hi"
2024-05-28T23:46:28Z,The Conjuring 3 Streaming Platforms: Samba TV's Impact,Arts,0.3333333333333333,4,"samba, streaming, tv, platforms, conjuring"
2024-05-28T23:46:02Z,Prince Albert police chief sees a steadier course for the once-embattled service,Society,-0.2235294117647059,1,"prince, chief, steadier, albert, police"
2024-05-28T23:46:01Z,Former OpenAI Safety Head Jan Leike Joins Anthropic,Computers,0.1529411764705881,2,"leike, openai, jan, anthropic, head"
2024-05-28T23:45:40Z,2023 Census data shows impact of Covid,Society,0.0509803921568627,1,"covid, census, 2023, impact, data"
2024-05-28T23:45:19Z,CHELSIO ANNOUNCES PARTICIPATION AT COMMUNICASIA 2024,Computers,0.3803921568627451,2,"chelsio, communicasia, 2024, participation, announces"
2024-05-28T23:44:52Z,JOYY Reports First Quarter 2024 Unaudited Financial Results,Health,0.5058823529411764,4,"joyy, financial, reports, quarter, results"
2024-05-28T23:44:47Z,"PRESS RELEASE, Wed, 29 May 2024 - 00:01 HRS (Irish Time) - Data Protection Commission publishes 2023 Annual Report",Society,-0.0352941176470588,1,"2023, publishes, irish, release, 2024"
2024-05-28T23:44:38Z,Demolition of historic Jaggar Museum begins,Recreation,-0.0274509803921568,1,"jaggar, museum, demolition, historic, begins"
2024-05-28T23:44:30Z,"Oregon Safe, Quick LASIK Procedure Helps Fix Short-Sighted & Far-Sighted Vision!",Health,0.5529411764705883,1,"lasik, sighted, vision, oregon, procedure"
2024-05-28T23:44:30Z,The Best Episode From Each Season of 'Black Mirror',Arts,0.4823529411764707,4,"episode, mirror, best, season, black"
2024-05-28T23:44:23Z,ST Engineering iDirect Next-Generation Hub Infrastructure Selected for Indonesia's First Multifunction Satellite,Science,0.1686274509803922,5,"satellite, indonesia, infrastructure, st, hub"
2024-05-28T23:43:54Z,Nine mastheads launch editorial series to help readers boost super,Shopping,0.6627450980392158,1,"mastheads, super, readers, editorial, series"
2024-05-28T23:43:48Z,NXP Semiconductors (NXPI) Laps the Stock Market: Here's Why,Business,0.3254901960784313,2,"nxpi, nxp, stock, market, semiconductors"
2024-05-28T23:42:48Z,OpenAI Lines up GPT-4 Successor Amid Safety Concerns   | Cardano News OpenAI | CryptoRank.io,Science,0.419607843137255,1,"openai, gpt, cardano, cryptorank, io"
2024-05-28T23:42:38Z,Travelers concerned about flying due to multiple airline mishaps,Society,-0.0039215686274509,1,"airline, flying, travelers, mishaps, multiple"
2024-05-28T23:42:13Z,Obayashi :  Notice of Convocation of the 120th Ordinary General Meeting of Shareholders,Society,0.584313725490196,1,"shareholders, obayashi, meeting, notice, general"
2024-05-28T23:42:13Z,'Going to be a frenzy over here': Activate Games makes leap to U.K.,Games,0.3333333333333333,1,"activate, leap, frenzy, games, going"
2024-05-28T23:41:50Z,WM opens $55 million RNG facility in Dallas area | Biomass Magazine,Science,0.6235294117647059,1,"wm, rng, facility, biomass, opens"
2024-05-28T23:41:38Z,NE China's Shenyang develops biomedicine and medical equipment industries,Business,0.4039215686274509,9,"biomedicine, shenyang, china, industries, medical"
2024-05-28T23:41:27Z,BJD vs BJP battle in Jajpur LS seat,Society,0.1607843137254903,1,"jajpur, bjd, bjp, battle, seat"
2024-05-28T23:41:09Z,'They sound convincing': Douglas County Sheriff's Office warns of phone spoofing scam,Society,0.0509803921568627,2,"spoofing, scam, sheriff, convincing, county"
2024-05-28T23:40:40Z,How Major US Stock Indexes Fared May 28,Business,0.0901960784313724,1,"indexes, stock, 28, fared, major"
2024-05-28T23:40:21Z,Center Line Public Schools set to reopen after cyberattack,Society,0.0980392156862746,2,"cyberattack, schools, reopen, center, public"
2024-05-28T23:40:03Z,AI darling Nvidia's market value surges closer to Apple,Business,0.2705882352941176,1,"nvidia, apple, market, surges, ai"
2024-05-28T23:39:39Z,Climate debate intertwined with cost-of-living concerns as EU elections loom,Business,0.1137254901960785,1,"climate, debate, eu, elections, cost"
2024-05-28T23:39:20Z,How our science stays in touch with society,Science,0.2862745098039217,5,"science, society, touch, stays"
2024-05-28T23:39:18Z,Forestry Industry Vital For Local Economy And Beyond,Science,0.0352941176470589,4,"forestry, industry, economy, local, vital"
2024-05-28T23:38:52Z,The grant support available to landowners for tree projects - Farmers Weekly,Shopping,0.5215686274509803,1,"landowners, farmers, grant, tree, projects"
2024-05-28T23:38:40Z,Don't throw away your TV -- try these 5 things instead,Shopping,0.3098039215686275,1,"tv, try, throw, things, don"
2024-05-28T23:38:21Z,Upstart holdings corporate controller sells over $52k in company stock By Investing.com,Business,0.2313725490196079,1,"stock, upstart, holdings, investing, sells"
2024-05-28T23:37:20Z,Estate agency to disappear from high street and become online only - Property Industry Eye,Business,0.192156862745098,2,"estate, agency, disappear, street, property"
2024-05-28T23:37:08Z,UAE president's visit focuses on defense investment and cooperation,Business,0.2784313725490195,1,"uae, visit, investment, cooperation, defense"
2024-05-28T23:36:56Z,Twins current and past speak well of retired MLB umpire Angel Hernandez,Sports,0.0745098039215685,1,"hernandez, umpire, twins, angel, mlb"
2024-05-28T23:36:51Z,"Toronto spews out 4,000 tonnes of plastic a year into the environment, so why don't we measure it like greenhouse gas emissions?",Business,-0.1215686274509804,1,"emissions, greenhouse, environment, toronto, plastic"
2024-05-28T23:36:43Z,Semiconductor Agreement at Japan-U.S. Summit,Business,0.0823529411764705,1,"semiconductor, agreement, japan, summit"
2024-05-28T23:36:40Z,"Printing The Future: 3D-Printed Homes Offer Affordable, Eco-Friendly Solutions Across The Nation",Business,0.1450980392156862,2,"printing, printed, 3d, homes, affordable"
2024-05-28T23:36:40Z,Shattered Theory: The War On Terror And Western Impunity,Society,-0.1529411764705882,5,"impunity, terror, war, theory, western"
2024-05-28T23:36:40Z,U.S. DOE Announces $1.2 Million To Accelerate America's Carbon Dioxide Removal Industry - CleanTechnica,Science,0.4823529411764707,5,"cleantechnica, carbon, industry, dioxide, announces"
2024-05-28T23:35:42Z,It is possible that a further increase in UKT will occur next year - ExBulletin,Society,0.1764705882352942,6,"ukt, exbulletin, increase, year, possible"
2024-05-28T23:35:39Z,Jackson-Stops looks to expand with online property auction offering - Property Industry Eye,Business,0.3333333333333333,6,"auction, jackson, property, offering, industry"
2024-05-28T23:35:34Z,Bio-Sourcing and Partners Launch ?3.4M EU Project in Inflammatory Indications with ?1.9M EUREKA Euro,Business,0.223529411764706,1,"inflammatory, eu, indications, sourcing, euro"
2024-05-28T23:35:27Z,Acer's new Chromebook Plus model may be the low-cost laptop gamers have been waiting for,Computers,0.0823529411764705,1,"chromebook, acer, laptop, gamers, cost"
2024-05-28T23:34:52Z,Sharp rise in Right to Rent checks carried out by letting agents - Property Industry Eye,Business,0.0274509803921567,4,"rent, agents, checks, property, letting"
2024-05-28T23:34:46Z,PowerSchool to Participate in Upcoming Investor Conferences,Business,0.2941176470588236,5,"conferences, powerschool, participate, investor, upcoming"
2024-05-28T23:34:13Z,New education center set to open in Historic Westside,Society,0.192156862745098,1,"westside, center, education, open, historic"
2024-05-28T23:34:11Z,Singapore's amended cybersecurity law: What are its future impacts? - ETCIO SEA,Society,0.0980392156862746,1,"cybersecurity, singapore, etcio, sea, law"
2024-05-28T23:34:11Z,USAID Activity Snapshot | Nepal seed and fertilizer - Nepal,Science,0.2705882352941176,1,"nepal, usaid, fertilizer, seed, snapshot"
2024-05-28T23:33:40Z,Don't Be a Victim: Top Security Measures to Keep Your Personal Information Safe Online,Computers,-0.2313725490196078,1,"security, safe, information, personal, victim"
2024-05-28T23:33:33Z,European-Japanese climate research satellite launched from California aboard SpaceX rocket,Science,-0.1607843137254902,1,"climate, satellite, california, japanese, spacex"
2024-05-28T23:33:23Z,Top Strategies for Profitable Stock Trading: Essential Tips and Tricks,Business,0.3725490196078431,1,"trading, strategies, profitable, stock, tips"
2024-05-28T23:33:18Z,Oracle (ORCL) Outpaces Stock Market Gains: What You Should Know,Business,0.192156862745098,2,"oracle, orcl, gains, stock, market"
2024-05-28T23:32:43Z,Hitachi and Google Cloud Announce Strategic Partnership to Accelerate Innovation and Productivity with Generative AI,Business,0.4666666666666666,11,"innovation, cloud, hitachi, ai, productivity"
2024-05-28T23:32:37Z,"US sanctions operators of ""free VPN"" that routed crime traffic through user PCs",Computers,-0.0666666666666666,1,"vpn, sanctions, crime, traffic, pcs"
2024-05-28T23:32:33Z,The 4 Great Myths of Donald Trump's Foreign Policy,Society,-0.2549019607843137,1,"myths, trump, donald, policy, foreign"
2024-05-28T23:32:22Z,Time for all religions to be partners,Society,0.0274509803921567,1,"religions, partners, time"
2024-05-28T23:31:48Z,"UL Solutions Opens Battery Enclosure Material Screening Laboratory in Japan, Helping Advance EV Battery Safety",Business,0.5764705882352941,2,"enclosure, ev, battery, screening, ul"
2024-05-28T23:31:41Z,Why the creative process is key to every student's success - ExBulletin,Society,0.6313725490196078,7,"success, exbulletin, creative, student, process"
2024-05-28T23:31:37Z,"HireRight Holdings Corporation investors: Please contact the Portnoy Law Firm to recover your losses; June 3, 2024 deadline - HireRight Holdings (NYSE:HRT)",Society,0.0980392156862746,1,"hireright, hrt, portnoy, nyse, firm"
2024-05-28T23:59:37Z,"IIT-K, DRDO inaugurate centre of excellence in defence technologies | Kanpur News - Times of India",Science,0.2941176470588236,5,"iit, kanpur, defence, technologies, excellence"
2024-05-28T23:58:37Z,Bedrock CEO Jonas Engwall Talks Pan-European Streaming Platform Growth,Computers,0.0823529411764705,1,"bedrock, streaming, engwall, growth, ceo"
2024-05-28T23:58:37Z,China in Focus Full Broadcast (May 28),Computers,-0.1372549019607843,1,"broadcast, china, focus, 28"
2024-05-28T23:58:34Z,OpsMx secures strategic investment from CerraCap Ventures to enhance DevSecOps - ETCIO SEA,Computers,0.5137254901960784,1,"opsmx, devsecops, strategic, secures, sea"
2024-05-28T23:57:55Z,Why the Summer Could Be Disastrous for Ukraine,Society,-0.207843137254902,1,"ukraine, summer, disastrous"
2024-05-28T23:57:54Z,Cleo's Ovarian Cancer Blood Test Outperforms Current Clinical Benchmark,Business,0.4901960784313726,1,"cleo, ovarian, benchmark, cancer, blood"
2024-05-28T23:57:46Z,"Ooma, Inc. (OOMA) Q1 2025 Earnings Call Transcript",Business,0.3490196078431373,2,"ooma, earnings, transcript, q1, 2025"
2024-05-28T23:57:26Z,"Lily Allen, David Harbour 'control' what they're allowed to have on each other's cell phones",Home,0.0039215686274509,1,"lily, phones, allen, david, cell"
2024-05-28T23:55:49Z,Training centres urged to collaborate to produce more skilled workforce,Science,0.3568627450980393,1,"training, collaborate, workforce, skilled, centres"
2024-05-28T23:55:49Z,Bid to be global semiconductor hub,Science,0.5215686274509803,6,"semiconductor, bid, global, hub"
2024-05-28T23:55:36Z,(LEAD) N. Korean leader slams S. Korea's show of force against Pyongyang's satellite launch | Yonhap News Agency,Society,-0.3333333333333334,1,"pyongyang, korea, korean, satellite, slams"
